Date,Description,Amount,Category
18 Feb,"18 Feb Mobile Recharge 11,226.37 219,816.08",219816.08,Utilities
18 Feb,"18 Feb Interest Credit 40,867.99 260,684.07",260684.07,Others
19 Feb,"19 Feb UPI Payment 8,138.73 252,545.34",252545.34,Bank Transfer
20 Feb,"20 Feb Freelance Payment 25,558.79 278,104.13",278104.13,Others
20 Feb,"20 Feb UPI Transfer Received 15,065.47 293,169.60",293169.6,Bank Transfer
21 Feb,"21 Feb EMI Debit 16,281.63 276,887.97",276887.97,Others
21 Feb,"21 Feb Hotel Booking 19,324.50 257,563.47",257563.47,Others
22 Feb,"22 Feb Flight Ticket - IndiGo 19,228.65 238,334.82",238334.82,Others
23 Feb,"23 Feb Hotel Booking 17,254.26 221,080.56",221080.56,Others
23 Feb,"23 Feb Bonus Credit 3,843.94 224,924.50",224924.5,Others
23 Feb,"23 Feb Swiggy Order 4,485.61 220,438.89",220438.89,Food
24 Feb,"24 Feb Freelance Payment 17,978.27 238,417.16",238417.16,Others
24 Feb,"24 Feb Interest Credit 41,692.76 280,109.92",280109.92,Others
25 Feb,"25 Feb Refund - Flipkart 33,848.05 313,957.97",313957.97,Shopping
25 Feb,"25 Feb FD Maturity 46,604.11 360,562.08",360562.08,Others
26 Feb,"26 Feb Refund - Amazon 44,768.65 405,330.73",405330.73,Shopping
26 Feb,"26 Feb Interest Credit 37,434.73 442,765.46",442765.46,Others
27 Feb,"27 Feb Swiggy Order 4,773.74 437,991.72",437991.72,Food
27 Feb,"27 Feb Grocery - BigBasket 4,214.89 433,776.83",433776.83,Others
27 Feb,"27 Feb Mobile Recharge 16,743.06 417,033.77",417033.77,Utilities
28 Feb,"28 Feb Bill Payment - Electricity 2,485.58 414,548.19",414548.19,Utilities
29 Feb,"29 Feb ATM Withdrawal 15,308.46 399,239.73",399239.73,Others
29 Feb,"29 Feb Mutual Fund SIP 7,486.81 391,752.92",391752.92,Others
29 Feb,"29 Feb EMI Debit 19,708.69 372,044.23",372044.23,Others
01 Mar,"01 Mar Freelance Payment 38,330.99 410,375.22",410375.22,Others
01 Mar,"01 Mar Rental Income 11,493.59 421,868.81",421868.81,Rent
01 Mar,"01 Mar Dividend Credit 26,523.90 448,392.71",448392.71,Others
02 Mar,"02 Mar Mobile Recharge 748.00 447,644.71",447644.71,Utilities
02 Mar,"02 Mar NEFT Inward 34,473.76 482,118.47",482118.47,Bank Transfer
02 Mar,"02 Mar Flight Ticket - IndiGo 2,495.33 479,623.14",479623.14,Others
03 Mar,"03 Mar Grocery - BigBasket 335.22 479,287.92",479287.92,Others
03 Mar,"03 Mar Refund - Flipkart 5,487.02 484,774.94",484774.94,Shopping
04 Mar,"04 Mar Refund - Amazon 13,511.03 498,285.97",498285.97,Shopping
04 Mar,"04 Mar Mobile Recharge 12,300.37 485,985.60",485985.6,Utilities
05 Mar,"05 Mar Mobile Recharge 4,289.60 481,696.00",481696.0,Utilities
06 Mar,"06 Mar Amazon Purchase 5,664.63 476,031.37",476031.37,Shopping
06 Mar,"06 Mar Swiggy Order 19,587.52 456,443.85",456443.85,Food
08 Mar,"08 Mar Fuel - HPCL 11,151.27 445,292.58",445292.58,Travel
08 Mar,"08 Mar Insurance Claim 40,101.85 485,394.43",485394.43,Others
09 Mar,"09 Mar Medical - Pharmacy 293.87 485,100.56",485100.56,Others
10 Mar,"10 Mar Bonus Credit 44,716.89 529,817.45",529817.45,Others
10 Mar,"10 Mar Hotel Booking 14,439.15 515,378.30",515378.3,Others
10 Mar,"10 Mar Rental Income 28,325.85 543,704.15",543704.15,Rent
12 Mar,"12 Mar Interest Credit 8,585.42 552,289.57",552289.57,Others
12 Mar,"12 Mar Bill Payment - Water 9,583.13 542,706.44",542706.44,Utilities
12 Mar,"12 Mar Refund - Flipkart 17,065.50 559,771.94",559771.94,Shopping
13 Mar,"13 Mar EMI Debit 18,643.71 541,128.23",541128.23,Others
13 Mar,"13 Mar Refund - Flipkart 20,882.16 562,010.39",562010.39,Shopping
14 Mar,"14 Mar Amazon Purchase 13,032.32 548,978.07",548978.07,Shopping
15 Mar,"15 Mar FD Maturity 33,823.05 582,801.12",582801.12,Others
15 Mar,"15 Mar Bill Payment - Electricity 8,993.91 573,807.21",573807.21,Utilities
16 Mar,"16 Mar Netflix Subscription 9,328.67 564,478.54",564478.54,Others
16 Mar,"16 Mar Mutual Fund SIP 12,847.55 551,630.99",551630.99,Others
16 Mar,"16 Mar Dividend Credit 30,809.35 582,440.34",582440.34,Others
19 Mar,"19 Mar Bonus Credit 16,017.36 598,457.70",598457.7,Others
20 Mar,"20 Mar Fuel - HPCL 12,147.16 586,310.54",586310.54,Travel
20 Mar,"20 Mar Refund - Flipkart 22,522.47 608,833.01",608833.01,Shopping
21 Mar,"21 Mar Salary Credit 9,602.37 618,435.38",618435.38,Income
21 Mar,"21 Mar Refund - Amazon 12,114.05 630,549.43",630549.43,Shopping
21 Mar,"21 Mar Bill Payment - Electricity 14,043.87 616,505.56",616505.56,Utilities
22 Mar,"22 Mar UPI Transfer Received 5,598.96 622,104.52",622104.52,Bank Transfer
23 Mar,"23 Mar Fuel - HPCL 624.66 621,479.86",621479.86,Travel
23 Mar,"23 Mar Bill Payment - Water 19,920.67 601,559.19",601559.19,Utilities
23 Mar,"23 Mar Bonus Credit 8,186.08 609,745.27",609745.27,Others
24 Mar,"24 Mar Refund - Amazon 12,746.13 622,491.40",622491.4,Shopping
24 Mar,"24 Mar Freelance Payment 6,757.38 629,248.78",629248.78,Others
24 Mar,"24 Mar Mobile Recharge 668.57 628,580.21",628580.21,Utilities
25 Mar,"25 Mar EMI Debit 9,397.15 619,183.06",619183.06,Others
25 Mar,"25 Mar Amazon Purchase 2,788.79 616,394.27",616394.27,Shopping
26 Mar,"26 Mar Medical - Pharmacy 12,753.44 603,640.83",603640.83,Others
26 Mar,"26 Mar Insurance Premium 12,826.61 590,814.22",590814.22,Others
26 Mar,"26 Mar Swiggy Order 9,684.87 581,129.35",581129.35,Food
28 Mar,"28 Mar NEFT Inward 20,904.09 602,033.44",602033.44,Bank Transfer
28 Mar,"28 Mar NEFT Inward 504.57 602,538.01",602538.01,Bank Transfer
28 Mar,"28 Mar Salary Credit 23,725.30 626,263.31",626263.31,Income
29 Mar,"29 Mar UPI Payment 9,593.63 616,669.68",616669.68,Bank Transfer
29 Mar,"29 Mar Swiggy Order 15,979.50 600,690.18",600690.18,Food
29 Mar,"29 Mar Grocery - BigBasket 11,009.42 589,680.76",589680.76,Others
30 Mar,"30 Mar Swiggy Order 8,798.42 580,882.34",580882.34,Food
30 Mar,"30 Mar Dividend Credit 36,987.33 617,869.67",617869.67,Others
30 Mar,"30 Mar Bill Payment - Electricity 4,489.79 613,379.88",613379.88,Utilities
31 Mar,"31 Mar EMI Debit 10,380.54 602,999.34",602999.34,Others
31 Mar,"31 Mar Refund - Amazon 37,274.88 640,274.22",640274.22,Shopping
31 Mar,"31 Mar NEFT Inward 42,747.36 683,021.58",683021.58,Bank Transfer
01 Apr,"01 Apr Rental Income 32,026.19 715,047.77",715047.77,Rent
02 Apr,"02 Apr Interest Credit 31,326.31 746,374.08",746374.08,Others
02 Apr,"02 Apr Freelance Payment 8,031.39 754,405.47",754405.47,Others
02 Apr,"02 Apr Refund - Amazon 48,630.46 803,035.93",803035.93,Shopping
03 Apr,"03 Apr Salary Credit 22,201.62 825,237.55",825237.55,Income
03 Apr,"03 Apr FD Maturity 7,958.84 833,196.39",833196.39,Others
04 Apr,"04 Apr FD Maturity 15,923.05 849,119.44",849119.44,Others
05 Apr,"05 Apr Mutual Fund SIP 15,849.35 833,270.09",833270.09,Others
05 Apr,"05 Apr NEFT Inward 37,653.19 870,923.28",870923.28,Bank Transfer
07 Apr,"07 Apr Hotel Booking 1,520.56 869,402.72",869402.72,Others
07 Apr,"07 Apr Refund - Amazon 44,837.10 914,239.82",914239.82,Shopping
08 Apr,"08 Apr Swiggy Order 2,527.03 911,712.79",911712.79,Food
08 Apr,"08 Apr Interest Credit 48,761.12 960,473.91",960473.91,Others
08 Apr,"08 Apr Flight Ticket - IndiGo 766.85 959,707.06",959707.06,Others
10 Apr,"10 Apr Insurance Premium 13,660.70 946,046.36",946046.36,Others
11 Apr,"11 Apr Insurance Claim 36,547.74 982,594.10",982594.1,Others
11 Apr,"11 Apr EMI Debit 10,466.43 972,127.67",972127.67,Others
12 Apr,"12 Apr ATM Withdrawal 4,054.60 968,073.07",968073.07,Others
12 Apr,"12 Apr Bill Payment - Water 4,433.99 963,639.08",963639.08,Utilities
12 Apr,"12 Apr Salary Credit 21,991.00 985,630.08",985630.08,Income
13 Apr,"13 Apr Fuel - HPCL 11,735.47 973,894.61",973894.61,Travel
14 Apr,"14 Apr Insurance Claim 2,578.67 976,473.28",976473.28,Others
15 Apr,"15 Apr Bill Payment - Electricity 3,184.34 973,288.94",973288.94,Utilities
15 Apr,"15 Apr Bonus Credit 25,246.00 998,534.94",998534.94,Others
15 Apr,"15 Apr ATM Withdrawal 18,623.89 979,911.05",979911.05,Others
17 Apr,"17 Apr Bill Payment - Water 14,056.43 965,854.62",965854.62,Utilities
17 Apr,"17 Apr Freelance Payment 12,017.39 977,872.01",977872.01,Others
18 Apr,"18 Apr Grocery - BigBasket 8,830.51 969,041.50",969041.5,Others
18 Apr,"18 Apr Insurance Claim 19,199.56 988,241.06",988241.06,Others
19 Apr,"19 Apr Insurance Claim 2,454.68 990,695.74",990695.74,Others
20 Apr,"20 Apr Hotel Booking 10,900.41 979,795.33",979795.33,Others
20 Apr,"20 Apr Refund - Flipkart 9,738.02 989,533.35",989533.35,Shopping
20 Apr,"20 Apr Rental Income 23,685.54 1,013,218.89",1013218.89,Rent
21 Apr,"21 Apr Refund - Amazon 8,173.76 1,021,392.65",1021392.65,Shopping
22 Apr,"22 Apr Fuel - HPCL 9,136.17 1,012,256.48",1012256.48,Travel
22 Apr,"22 Apr Mobile Recharge 17,670.35 994,586.13",994586.13,Utilities
23 Apr,"23 Apr Freelance Payment 3,635.42 998,221.55",998221.55,Others
24 Apr,"24 Apr Freelance Payment 34,319.60 1,032,541.15",1032541.15,Others
24 Apr,"24 Apr Dividend Credit 14,514.89 1,047,056.04",1047056.04,Others
24 Apr,"24 Apr Bill Payment - Electricity 2,298.24 1,044,757.80",1044757.8,Utilities
26 Apr,"26 Apr UPI Transfer Received 2,048.05 1,046,805.85",1046805.85,Bank Transfer
27 Apr,"27 Apr Bonus Credit 2,074.95 1,048,880.80",1048880.8,Others
27 Apr,"27 Apr EMI Debit 13,192.63 1,035,688.17",1035688.17,Others
27 Apr,"27 Apr Insurance Claim 11,425.78 1,047,113.95",1047113.95,Others
30 Apr,"30 Apr Bill Payment - Electricity 18,575.23 1,028,538.72",1028538.72,Utilities
01 May,"01 May Medical - Pharmacy 1,307.93 1,027,230.79",1027230.79,Others
01 May,"01 May ATM Withdrawal 15,905.57 1,011,325.22",1011325.22,Others
01 May,"01 May ATM Withdrawal 5,389.73 1,005,935.49",1005935.49,Others
03 May,"03 May Freelance Payment 11,187.05 1,017,122.54",1017122.54,Others
03 May,"03 May Freelance Payment 36,396.01 1,053,518.55",1053518.55,Others
04 May,"04 May Interest Credit 26,546.51 1,080,065.06",1080065.06,Others
04 May,"04 May Medical - Pharmacy 18,955.32 1,061,109.74",1061109.74,Others
04 May,"04 May Mobile Recharge 15,349.04 1,045,760.70",1045760.7,Utilities
05 May,"05 May Bill Payment - Water 8,598.79 1,037,161.91",1037161.91,Utilities
05 May,"05 May Dividend Credit 9,429.63 1,046,591.54",1046591.54,Others
05 May,"05 May Flight Ticket - IndiGo 13,184.88 1,033,406.66",1033406.66,Others
06 May,"06 May Mutual Fund SIP 11,046.62 1,022,360.04",1022360.04,Others
06 May,"06 May Medical - Pharmacy 8,305.63 1,014,054.41",1014054.41,Others
07 May,"07 May Grocery - BigBasket 11,306.58 1,002,747.83",1002747.83,Others
07 May,"07 May Insurance Claim 27,736.82 1,030,484.65",1030484.65,Others
08 May,"08 May Dividend Credit 22,893.97 1,053,378.62",1053378.62,Others
08 May,"08 May Refund - Amazon 2,215.81 1,055,594.43",1055594.43,Shopping
10 May,"10 May Insurance Premium 6,106.65 1,049,487.78",1049487.78,Others
11 May,"11 May Insurance Claim 16,087.78 1,065,575.56",1065575.56,Others
12 May,"12 May Netflix Subscription 10,274.30 1,055,301.26",1055301.26,Others
12 May,"12 May NEFT Inward 23,288.31 1,078,589.57",1078589.57,Bank Transfer
13 May,"13 May Interest Credit 44,536.45 1,123,126.02",1123126.02,Others
14 May,"14 May Rental Income 15,364.97 1,138,490.99",1138490.99,Rent
15 May,"15 May Bill Payment - Electricity 4,427.00 1,134,063.99",1134063.99,Utilities
15 May,"15 May Amazon Purchase 15,878.79 1,118,185.20",1118185.2,Shopping
15 May,"15 May Bill Payment - Water 17,990.58 1,100,194.62",1100194.62,Utilities
16 May,"16 May Dividend Credit 40,512.89 1,140,707.51",1140707.51,Others
16 May,"16 May Refund - Flipkart 3,268.17 1,143,975.68",1143975.68,Shopping
17 May,"17 May Bill Payment - Water 8,742.66 1,135,233.02",1135233.02,Utilities
17 May,"17 May UPI Payment 4,611.68 1,130,621.34",1130621.34,Bank Transfer
18 May,"18 May Refund - Flipkart 26,456.98 1,157,078.32",1157078.32,Shopping
18 May,"18 May Swiggy Order 3,076.64 1,154,001.68",1154001.68,Food
18 May,"18 May Dividend Credit 33,844.94 1,187,846.62",1187846.62,Others
19 May,"19 May Bill Payment - Electricity 11,547.57 1,176,299.05",1176299.05,Utilities
19 May,"19 May Dividend Credit 14,844.26 1,191,143.31",1191143.31,Others
19 May,"19 May FD Maturity 17,140.32 1,208,283.63",1208283.63,Others
21 May,"21 May Dividend Credit 20,227.09 1,228,510.72",1228510.72,Others
21 May,"21 May Netflix Subscription 2,694.47 1,225,816.25",1225816.25,Others
21 May,"21 May Fuel - HPCL 4,042.36 1,221,773.89",1221773.89,Travel
22 May,"22 May Swiggy Order 19,941.87 1,201,832.02",1201832.02,Food
23 May,"23 May Refund - Flipkart 38,950.21 1,240,782.23",1240782.23,Shopping
26 May,"26 May Refund - Flipkart 17,741.24 1,258,523.47",1258523.47,Shopping
26 May,"26 May Refund - Amazon 32,942.79 1,291,466.26",1291466.26,Shopping
26 May,"26 May FD Maturity 17,810.96 1,309,277.22",1309277.22,Others
27 May,"27 May Interest Credit 46,248.55 1,355,525.77",1355525.77,Others
28 May,"28 May Bill Payment - Electricity 3,204.23 1,352,321.54",1352321.54,Utilities
31 May,"31 May Insurance Premium 18,541.92 1,333,779.62",1333779.62,Others
02 Jun,"02 Jun Flight Ticket - IndiGo 2,314.43 1,331,465.19",1331465.19,Others
02 Jun,"02 Jun Grocery - BigBasket 6,704.35 1,324,760.84",1324760.84,Others
03 Jun,"03 Jun Hotel Booking 15,032.07 1,309,728.77",1309728.77,Others
04 Jun,"04 Jun Fuel - HPCL 13,398.39 1,296,330.38",1296330.38,Travel
06 Jun,"06 Jun Insurance Claim 14,558.67 1,310,889.05",1310889.05,Others
06 Jun,"06 Jun UPI Payment 1,156.40 1,309,732.65",1309732.65,Bank Transfer
08 Jun,"08 Jun Mobile Recharge 13,293.33 1,296,439.32",1296439.32,Utilities
08 Jun,"08 Jun Fuel - HPCL 479.66 1,295,959.66",1295959.66,Travel
08 Jun,"08 Jun Insurance Claim 19,344.71 1,315,304.37",1315304.37,Others
10 Jun,"10 Jun Bill Payment - Electricity 11,982.42 1,303,321.95",1303321.95,Utilities
10 Jun,"10 Jun FD Maturity 25,282.22 1,328,604.17",1328604.17,Others
13 Jun,"13 Jun Hotel Booking 6,168.06 1,322,436.11",1322436.11,Others
14 Jun,"14 Jun Mobile Recharge 465.61 1,321,970.50",1321970.5,Utilities
14 Jun,"14 Jun Freelance Payment 15,465.15 1,337,435.65",1337435.65,Others
14 Jun,"14 Jun Refund - Amazon 3,569.48 1,341,005.13",1341005.13,Shopping
15 Jun,"15 Jun UPI Payment 16,315.69 1,324,689.44",1324689.44,Bank Transfer
15 Jun,"15 Jun Swiggy Order 18,987.42 1,305,702.02",1305702.02,Food
15 Jun,"15 Jun Bonus Credit 44,910.18 1,350,612.20",1350612.2,Others
16 Jun,"16 Jun Bonus Credit 19,419.25 1,370,031.45",1370031.45,Others
17 Jun,"17 Jun Dividend Credit 28,858.48 1,398,889.93",1398889.93,Others
18 Jun,"18 Jun Netflix Subscription 6,652.77 1,392,237.16",1392237.16,Others
18 Jun,"18 Jun Freelance Payment 7,359.54 1,399,596.70",1399596.7,Others
19 Jun,"19 Jun Netflix Subscription 6,249.07 1,393,347.63",1393347.63,Others
20 Jun,"20 Jun Netflix Subscription 19,517.96 1,373,829.67",1373829.67,Others
20 Jun,"20 Jun Amazon Purchase 11,340.40 1,362,489.27",1362489.27,Shopping
20 Jun,"20 Jun Insurance Claim 28,088.34 1,390,577.61",1390577.61,Others
22 Jun,"22 Jun Insurance Claim 44,042.09 1,434,619.70",1434619.7,Others
24 Jun,"24 Jun Medical - Pharmacy 8,339.40 1,426,280.30",1426280.3,Others
24 Jun,"24 Jun Bonus Credit 37,407.68 1,463,687.98",1463687.98,Others
25 Jun,"25 Jun NEFT Inward 9,802.71 1,473,490.69",1473490.69,Bank Transfer
25 Jun,"25 Jun Rental Income 38,241.15 1,511,731.84",1511731.84,Rent
26 Jun,"26 Jun Swiggy Order 12,286.00 1,499,445.84",1499445.84,Food
26 Jun,"26 Jun UPI Transfer Received 1,791.18 1,501,237.02",1501237.02,Bank Transfer
27 Jun,"27 Jun FD Maturity 42,383.84 1,543,620.86",1543620.86,Others
27 Jun,"27 Jun Fuel - HPCL 7,541.79 1,536,079.07",1536079.07,Travel
27 Jun,"27 Jun Grocery - BigBasket 2,836.50 1,533,242.57",1533242.57,Others
28 Jun,"28 Jun Salary Credit 38,344.67 1,571,587.24",1571587.24,Income
29 Jun,"29 Jun Grocery - BigBasket 4,528.83 1,567,058.41",1567058.41,Others
29 Jun,"29 Jun Flight Ticket - IndiGo 1,416.11 1,565,642.30",1565642.3,Others
30 Jun,"30 Jun Swiggy Order 17,348.82 1,548,293.48",1548293.48,Food
30 Jun,"30 Jun Rental Income 38,922.63 1,587,216.11",1587216.11,Rent
30 Jun,"30 Jun Mutual Fund SIP 7,669.45 1,579,546.66",1579546.66,Others
01 Jul,"01 Jul ATM Withdrawal 14,875.11 1,564,671.55",1564671.55,Others
01 Jul,"01 Jul ATM Withdrawal 9,087.03 1,555,584.52",1555584.52,Others
01 Jul,"01 Jul Fuel - HPCL 4,989.86 1,550,594.66",1550594.66,Travel
03 Jul,"03 Jul ATM Withdrawal 12,649.91 1,537,944.75",1537944.75,Others
03 Jul,"03 Jul Refund - Amazon 22,257.92 1,560,202.67",1560202.67,Shopping
03 Jul,"03 Jul Amazon Purchase 5,789.70 1,554,412.97",1554412.97,Shopping
04 Jul,"04 Jul Insurance Claim 45,992.12 1,600,405.09",1600405.09,Others
04 Jul,"04 Jul Flight Ticket - IndiGo 2,930.57 1,597,474.52",1597474.52,Others
04 Jul,"04 Jul NEFT Inward 25,282.56 1,622,757.08",1622757.08,Bank Transfer
05 Jul,"05 Jul Salary Credit 16,511.32 1,639,268.40",1639268.4,Income
06 Jul,"06 Jul Grocery - BigBasket 17,942.69 1,621,325.71",1621325.71,Others
07 Jul,"07 Jul Bonus Credit 16,541.70 1,637,867.41",1637867.41,Others
07 Jul,"07 Jul Bill Payment - Water 15,950.08 1,621,917.33",1621917.33,Utilities
07 Jul,"07 Jul Bonus Credit 35,458.22 1,657,375.55",1657375.55,Others
08 Jul,"08 Jul Insurance Claim 35,510.32 1,692,885.87",1692885.87,Others
08 Jul,"08 Jul Amazon Purchase 10,282.16 1,682,603.71",1682603.71,Shopping
09 Jul,"09 Jul Amazon Purchase 973.73 1,681,629.98",1681629.98,Shopping
09 Jul,"09 Jul Netflix Subscription 11,353.28 1,670,276.70",1670276.7,Others
09 Jul,"09 Jul Insurance Claim 7,658.07 1,677,934.77",1677934.77,Others
11 Jul,"11 Jul FD Maturity 36,643.01 1,714,577.78",1714577.78,Others
11 Jul,"11 Jul NEFT Inward 9,444.45 1,724,022.23",1724022.23,Bank Transfer
11 Jul,"11 Jul EMI Debit 170.30 1,723,851.93",1723851.93,Others
13 Jul,"13 Jul UPI Payment 10,022.98 1,713,828.95",1713828.95,Bank Transfer
13 Jul,"13 Jul Grocery - BigBasket 9,919.99 1,703,908.96",1703908.96,Others
13 Jul,"13 Jul Medical - Pharmacy 9,566.67 1,694,342.29",1694342.29,Others
14 Jul,"14 Jul Interest Credit 30,205.05 1,724,547.34",1724547.34,Others
14 Jul,"14 Jul Grocery - BigBasket 5,634.45 1,718,912.89",1718912.89,Others
14 Jul,"14 Jul Bonus Credit 7,838.68 1,726,751.57",1726751.57,Others
15 Jul,"15 Jul Bonus Credit 42,764.55 1,769,516.12",1769516.12,Others
15 Jul,"15 Jul Mutual Fund SIP 12,105.38 1,757,410.74",1757410.74,Others
19 Jul,"19 Jul Insurance Premium 3,310.57 1,754,100.17",1754100.17,Others
19 Jul,"19 Jul Amazon Purchase 13,861.12 1,740,239.05",1740239.05,Shopping
19 Jul,"19 Jul Mobile Recharge 15,011.76 1,725,227.29",1725227.29,Utilities
22 Jul,"22 Jul UPI Transfer Received 44,927.72 1,770,155.01",1770155.01,Bank Transfer
22 Jul,"22 Jul Bill Payment - Electricity 16,881.86 1,753,273.15",1753273.15,Utilities
23 Jul,"23 Jul EMI Debit 2,528.26 1,750,744.89",1750744.89,Others
23 Jul,"23 Jul Interest Credit 20,981.02 1,771,725.91",1771725.91,Others
24 Jul,"24 Jul Bill Payment - Electricity 2,275.11 1,769,450.80",1769450.8,Utilities
25 Jul,"25 Jul Insurance Premium 12,135.08 1,757,315.72",1757315.72,Others
25 Jul,"25 Jul Refund - Amazon 42,466.00 1,799,781.72",1799781.72,Shopping
25 Jul,"25 Jul Mobile Recharge 19,900.98 1,779,880.74",1779880.74,Utilities
26 Jul,"26 Jul Hotel Booking 9,978.30 1,769,902.44",1769902.44,Others
27 Jul,"27 Jul Swiggy Order 17,684.91 1,752,217.53",1752217.53,Food
27 Jul,"27 Jul UPI Payment 19,587.23 1,732,630.30",1732630.3,Bank Transfer
27 Jul,"27 Jul UPI Transfer Received 23,511.84 1,756,142.14",1756142.14,Bank Transfer
28 Jul,"28 Jul Medical - Pharmacy 19,979.84 1,736,162.30",1736162.3,Others
30 Jul,"30 Jul Interest Credit 40,399.15 1,776,561.45",1776561.45,Others
30 Jul,"30 Jul Refund - Amazon 10,458.76 1,787,020.21",1787020.21,Shopping
31 Jul,"31 Jul Mutual Fund SIP 6,224.67 1,780,795.54",1780795.54,Others
31 Jul,"31 Jul Mutual Fund SIP 2,365.35 1,778,430.19",1778430.19,Others
01 Aug,"01 Aug Salary Credit 28,661.62 1,807,091.81",1807091.81,Income
01 Aug,"01 Aug Mutual Fund SIP 3,960.91 1,803,130.90",1803130.9,Others
02 Aug,"02 Aug Netflix Subscription 15,965.36 1,787,165.54",1787165.54,Others
02 Aug,"02 Aug Mutual Fund SIP 12,581.29 1,774,584.25",1774584.25,Others
02 Aug,"02 Aug ATM Withdrawal 16,301.92 1,758,282.33",1758282.33,Others
03 Aug,"03 Aug UPI Payment 13,596.13 1,744,686.20",1744686.2,Bank Transfer
03 Aug,"03 Aug Refund - Flipkart 34,431.92 1,779,118.12",1779118.12,Shopping
05 Aug,"05 Aug Dividend Credit 2,043.07 1,781,161.19",1781161.19,Others
06 Aug,"06 Aug Bill Payment - Water 7,852.37 1,773,308.82",1773308.82,Utilities
07 Aug,"07 Aug ATM Withdrawal 6,358.54 1,766,950.28",1766950.28,Others
07 Aug,"07 Aug Interest Credit 4,796.49 1,771,746.77",1771746.77,Others
08 Aug,"08 Aug Grocery - BigBasket 19,019.46 1,752,727.31",1752727.31,Others
08 Aug,"08 Aug Mobile Recharge 3,582.75 1,749,144.56",1749144.56,Utilities
10 Aug,"10 Aug UPI Payment 8,931.10 1,740,213.46",1740213.46,Bank Transfer
11 Aug,"11 Aug Mutual Fund SIP 3,166.15 1,737,047.31",1737047.31,Others
11 Aug,"11 Aug Insurance Premium 14,675.58 1,722,371.73",1722371.73,Others
11 Aug,"11 Aug Bill Payment - Water 2,951.57 1,719,420.16",1719420.16,Utilities
12 Aug,"12 Aug Dividend Credit 2,309.35 1,721,729.51",1721729.51,Others
15 Aug,"15 Aug Bill Payment - Electricity 13,772.34 1,707,957.17",1707957.17,Utilities
15 Aug,"15 Aug UPI Transfer Received 44,514.70 1,752,471.87",1752471.87,Bank Transfer
16 Aug,"16 Aug Bonus Credit 38,045.44 1,790,517.31",1790517.31,Others
16 Aug,"16 Aug Grocery - BigBasket 6,485.52 1,784,031.79",1784031.79,Others
17 Aug,"17 Aug FD Maturity 16,297.91 1,800,329.70",1800329.7,Others
17 Aug,"17 Aug Amazon Purchase 5,525.82 1,794,803.88",1794803.88,Shopping
18 Aug,"18 Aug Freelance Payment 47,935.75 1,842,739.63",1842739.63,Others
18 Aug,"18 Aug Mobile Recharge 4,210.89 1,838,528.74",1838528.74,Utilities
19 Aug,"19 Aug Refund - Amazon 47,192.25 1,885,720.99",1885720.99,Shopping
19 Aug,"19 Aug Insurance Premium 3,508.37 1,882,212.62",1882212.62,Others
20 Aug,"20 Aug UPI Payment 1,109.45 1,881,103.17",1881103.17,Bank Transfer
20 Aug,"20 Aug Bill Payment - Water 13,542.37 1,867,560.80",1867560.8,Utilities
21 Aug,"21 Aug NEFT Inward 21,610.05 1,889,170.85",1889170.85,Bank Transfer
21 Aug,"21 Aug Flight Ticket - IndiGo 17,836.39 1,871,334.46",1871334.46,Others
21 Aug,"21 Aug Grocery - BigBasket 6,317.57 1,865,016.89",1865016.89,Others
23 Aug,"23 Aug Flight Ticket - IndiGo 1,949.03 1,863,067.86",1863067.86,Others
23 Aug,"23 Aug Bonus Credit 15,864.39 1,878,932.25",1878932.25,Others
23 Aug,"23 Aug Swiggy Order 9,361.39 1,869,570.86",1869570.86,Food
24 Aug,"24 Aug Refund - Amazon 44,837.19 1,914,408.05",1914408.05,Shopping
25 Aug,"25 Aug Bonus Credit 35,130.92 1,949,538.97",1949538.97,Others
25 Aug,"25 Aug Refund - Flipkart 43,109.18 1,992,648.15",1992648.15,Shopping
26 Aug,"26 Aug Bill Payment - Water 1,400.77 1,991,247.38",1991247.38,Utilities
26 Aug,"26 Aug NEFT Inward 23,331.46 2,014,578.84",2014578.84,Bank Transfer
26 Aug,"26 Aug Rental Income 17,756.46 2,032,335.30",2032335.3,Rent
27 Aug,"27 Aug Bill Payment - Water 8,173.15 2,024,162.15",2024162.15,Utilities
28 Aug,"28 Aug Insurance Premium 1,511.39 2,022,650.76",2022650.76,Others
28 Aug,"28 Aug Medical - Pharmacy 8,076.25 2,014,574.51",2014574.51,Others
29 Aug,"29 Aug Hotel Booking 11,004.19 2,003,570.32",2003570.32,Others
30 Aug,"30 Aug Insurance Claim 10,807.79 2,014,378.11",2014378.11,Others
30 Aug,"30 Aug Medical - Pharmacy 15,707.85 1,998,670.26",1998670.26,Others
30 Aug,"30 Aug Swiggy Order 6,909.80 1,991,760.46",1991760.46,Food
31 Aug,"31 Aug Hotel Booking 1,650.10 1,990,110.36",1990110.36,Others
02 Sep,"02 Sep FD Maturity 5,333.87 1,995,444.23",1995444.23,Others
02 Sep,"02 Sep UPI Transfer Received 47,816.23 2,043,260.46",2043260.46,Bank Transfer
02 Sep,"02 Sep Fuel - HPCL 13,741.62 2,029,518.84",2029518.84,Travel
03 Sep,"03 Sep Bill Payment - Electricity 13,237.28 2,016,281.56",2016281.56,Utilities
03 Sep,"03 Sep Rental Income 7,376.38 2,023,657.94",2023657.94,Rent
